id,cliente,fecha,guias_remision,tipos_envase,cantidades,estado
908,Marsar,2023-09-27,003-544,Bidon plastico 60 kgs,2,cancelado
905,Marsar,2023-09-21,001-880,Bidon plastico 150 kgs,2,cancelado
